Date,Close
2015-01-02,169.68780517578125
2015-01-05,166.62332153320312
2015-01-06,165.05392456054688
2015-01-07,167.1106719970703
2015-01-08,170.0760498046875
2015-01-09,168.71316528320312
2015-01-12,167.39154052734375
2015-01-13,166.92071533203125
2015-01-14,165.91294860839844
2015-01-15,164.39309692382812
2015-01-16,166.54898071289062
2015-01-20,166.90415954589844
2015-01-21,167.74671936035156
2015-01-22,170.2412872314453
2015-01-23,169.307861328125
2015-01-26,169.70436096191406
2015-01-27,167.4658660888672
2015-01-28,165.31825256347656
2015-01-29,166.84629821777344
2015-01-30,164.748291015625
2015-02-02,166.7884979248047
2015-02-03,169.20050048828125
2015-02-04,168.55618286132812
2015-02-05,170.25782775878906
2015-02-06,169.78697204589844
2015-02-09,169.0270233154297
2015-02-10,170.82774353027344
2015-02-11,170.9268798828125
2015-02-12,172.5706024169922
2015-02-13,173.28099060058594
2015-02-17,173.5535888671875
2015-02-18,173.5701141357422
2015-02-19,173.4462127685547
2015-02-20,174.48699951171875
2015-02-23,174.46218872070312
2015-02-24,174.957763671875
2015-02-25,174.80914306640625
2015-02-26,174.6026153564453
2015-02-27,174.00787353515625
2015-03-02,175.1065216064453
2015-03-03,174.387939453125
2015-03-04,173.6526641845703
2015-03-05,173.8426971435547
2015-03-06,171.39767456054688
2015-03-09,172.10809326171875
2015-03-10,169.31617736816406
2015-03-11,168.91964721679688
2015-03-12,171.0673065185547
2015-03-13,170.0182342529297
2015-03-16,172.28981018066406
2015-03-17,171.77769470214844
2015-03-18,173.8426971435547
2015-03-19,173.04971313476562
2015-03-20,174.57720947265625
2015-03-23,174.237060546875
2015-03-24,173.25794982910156
2015-03-25,170.71908569335938
2015-03-26,170.31248474121094
2015-03-27,170.7025146484375
2015-03-30,172.78504943847656
2015-03-31,171.27496337890625
2015-04-01,170.66932678222656
2015-04-02,171.28330993652344
2015-04-06,172.43658447265625
2015-04-07,171.980224609375
2015-04-08,172.56103515625
2015-04-09,173.32432556152344
2015-04-10,174.27020263671875
2015-04-13,173.48194885253906
2015-04-14,173.8138885498047
2015-04-15,174.59375
2015-04-16,174.5440216064453
2015-04-17,172.53614807128906
2015-04-20,174.11256408691406
2015-04-21,173.90513610839844
2015-04-22,174.75978088378906
2015-04-23,175.199462890625
2015-04-24,175.60601806640625
2015-04-27,174.8759002685547
2015-04-28,175.43182373046875
2015-04-29,174.70999145507812
2015-04-30,172.9592742919922
2015-05-01,174.8344268798828
2015-05-04,175.3322296142578
2015-05-05,173.32432556152344
2015-05-06,172.61082458496094
2015-05-07,173.29946899414062
2015-05-08,175.58114624023438
2015-05-11,174.7431182861328
2015-05-12,174.220458984375
2015-05-13,174.25363159179688
2015-05-14,176.0706787109375
2015-05-15,176.26153564453125
2015-05-18,176.80906677246094
2015-05-19,176.75099182128906
2015-05-20,176.62652587890625
2015-05-21,177.14097595214844
2015-05-22,176.71788024902344
2015-05-26,174.8177947998047
2015-05-27,176.4772186279297
2015-05-28,176.27810668945312
2015-05-29,175.18287658691406
2015-06-01,175.53965759277344
2015-06-02,175.3654327392578
2015-06-03,175.830078125
2015-06-04,174.3448944091797
2015-06-05,174.04620361328125
2015-06-08,172.97584533691406
2015-06-09,172.9509735107422
2015-06-10,175.02528381347656
2015-06-11,175.58944702148438
2015-06-12,174.24534606933594
2015-06-15,173.49856567382812
2015-06-16,174.44442749023438
2015-06-17,174.72654724121094
2015-06-18,176.54356384277344
2015-06-19,175.75990295410156
2015-06-22,176.6603240966797
2015-06-23,176.7853240966797
2015-06-24,175.5014190673828
2015-06-25,174.9678497314453
2015-06-26,174.93446350097656
2015-06-29,171.2660675048828
2015-06-30,171.62452697753906
2015-07-01,173.0001983642578
2015-07-02,172.84181213378906
2015-07-06,172.34994506835938
2015-07-07,173.4337921142578
2015-07-08,170.52403259277344
2015-07-09,170.83245849609375
2015-07-10,172.9835205078125
2015-07-13,174.89280700683594
2015-07-14,175.65147399902344
2015-07-15,175.59310913085938
2015-07-16,177.00213623046875
2015-07-17,177.15223693847656
2015-07-20,177.2439422607422
2015-07-21,176.5435791015625
2015-07-22,176.22677612304688
2015-07-23,175.234619140625
2015-07-24,173.41708374023438
2015-07-27,172.40823364257812
2015-07-28,174.5259552001953
2015-07-29,175.72653198242188
2015-07-30,175.7682647705078
2015-07-31,175.5014190673828
2015-08-03,174.9094696044922
2015-08-04,174.56765747070312
2015-08-05,175.1429443359375
2015-08-06,173.70889282226562
2015-08-07,173.37539672851562
2015-08-10,175.559814453125
2015-08-11,173.97564697265625
2015-08-12,174.18411254882812
2015-08-13,173.96739196777344
2015-08-14,174.60093688964844
2015-08-17,175.57643127441406
2015-08-18,175.06790161132812
2015-08-19,173.6838836669922
2015-08-20,170.05715942382812
2015-08-21,164.93798828125
2015-08-24,157.99295043945312
2015-08-25,156.13372802734375
2015-08-26,162.12828063964844
2015-08-27,166.1385498046875
2015-08-28,166.1468963623047
2015-08-31,164.80459594726562
2015-09-01,159.885498046875
2015-09-02,162.92037963867188
2015-09-03,163.03707885742188
2015-09-04,160.56918334960938
2015-09-08,164.60447692871094
2015-09-09,162.40341186523438
2015-09-10,163.28717041015625
2015-09-11,164.0291748046875
2015-09-14,163.42056274414062
2015-09-15,165.4632568359375
2015-09-16,166.8972930908203
2015-09-17,166.52210998535156
2015-09-18,163.80087280273438
2015-09-21,164.64732360839844
2015-09-22,162.51023864746094
2015-09-23,162.25045776367188
2015-09-24,161.66378784179688
2015-09-25,161.6218719482422
2015-09-28,157.56556701660156
2015-09-29,157.6577911376953
2015-09-30,160.59942626953125
2015-10-01,161.0184326171875
2015-10-02,163.42373657226562
2015-10-05,166.3318328857422
2015-10-06,165.7618865966797
2015-10-07,167.11959838867188
2015-10-08,168.62814331054688
2015-10-09,168.72874450683594
2015-10-12,168.88800048828125
2015-10-13,167.8236083984375
2015-10-14,167.01905822753906
2015-10-15,169.58355712890625
2015-10-16,170.35455322265625
2015-10-19,170.43841552734375
2015-10-20,170.2205047607422
2015-10-21,169.16453552246094
2015-10-22,172.02230834960938
2015-10-23,173.9080047607422
2015-10-26,173.48057556152344
2015-10-27,173.1453857421875
2015-10-28,175.1148223876953
2015-10-29,175.01426696777344
2015-10-30,174.2599334716797
2015-11-02,176.3216094970703
2015-11-03,176.83285522460938
2015-11-04,176.29644775390625
2015-11-05,176.1204833984375
2015-11-06,176.0282745361328
2015-11-09,174.38571166992188
2015-11-10,174.78794860839844
2015-11-11,174.10073852539062
2015-11-12,171.67034912109375
2015-11-13,169.7427978515625
2015-11-16,172.3240509033203
2015-11-17,172.1982879638672
2015-11-18,174.93043518066406
2015-11-19,174.7795867919922
2015-11-20,175.41647338867188
2015-11-23,175.21539306640625
2015-11-24,175.45004272460938
2015-11-25,175.42489624023438
2015-11-27,175.62603759765625
2015-11-30,174.89695739746094
2015-12-01,176.5646514892578
2015-12-02,174.76280212402344
2015-12-03,172.315673828125
2015-12-04,175.67630004882812
2015-12-07,174.61196899414062
2015-12-08,173.4386749267578
2015-12-09,172.08937072753906
2015-12-10,172.5335693359375
2015-12-11,169.18966674804688
2015-12-14,170.0444793701172
2015-12-15,171.82962036132812
2015-12-16,174.34378051757812
2015-12-17,171.68710327148438
2015-12-18,168.62850952148438
2015-12-21,170.0195770263672
2015-12-22,171.56228637695312
2015-12-23,173.68685913085938
2015-12-24,173.40016174316406
2015-12-28,173.00396728515625
2015-12-29,174.8502655029297
2015-12-30,173.6109161376953
